candle_begin_time,close,每次投入资金,累计投入资金,每次买币数量,累计买币数量,平均持有成本,币市值
2013-04-01,103.999,100,100,0.9596246117751133,0.9596246117751133,104.20741482965931,99.8
2013-04-02,118.22935407,100,200,0.8441220100120944,1.8037466217872078,110.88031854597949,213.25579799984615
2013-04-03,134.7,100,300,0.74090571640683,2.544652338194038,117.89429758130049,342.76466995473686
2013-04-04,132.899,100,400,0.7509462072701826,3.2955985454642205,121.37400671890869,437.98175109364945
2013-04-05,142.3,100,500,0.7013352073085031,3.9969337527727236,125.09589373432664,568.7636730195586
2013-04-06,143.05,100,600,0.6976581614819992,4.6945919142547226,127.80663600986315,671.5613733341381
2013-04-07,162.304,100,700,0.6148955047318612,5.309487418986584,131.8394686268243,861.7510460511985
2013-04-08,186.985,100,800,0.5337326523517929,5.843220071338377,136.9108112022147,1092.5945050392065
2013-04-09,232.99,100,900,0.4283445641443839,6.27156463548276,143.5048592034038,1461.2118444211285
2013-04-10,162.0,100,1000,0.6160493827160494,6.88761401819881,145.18815911544235,1115.7934709482072
2013-04-11,100.0,100,1100,0.998,7.88561401819881,139.4945273077487,788.561401819881
2013-04-12,112.0,100,1200,0.8910714285714285,8.776685446770239,136.72587530655915,982.9887700382668
2013-04-13,91.1,100,1300,1.0954994511525795,9.872184897922818,131.68310900189175,899.3560442007687
2013-04-14,90.171,100,1400,1.1067859954974437,10.97897089342026,127.51650528912735,989.9847844305984
2013-04-15,83.302,100,1500,1.1980504669755827,12.177021360395843,123.18283393002433,1014.3702333636945
2013-04-16,67.588,100,1600,1.476593478132213,13.653614838528055,117.18508387134861,922.8205197064341
2013-04-17,93.063,100,1700,1.0723918205946508,14.726006659122707,115.44202303798744,1370.4463577179365
2013-04-18,111.3,100,1800,0.8966756513926325,15.622682310515339,115.21709039608731,1738.804541160357
2013-04-19,119.0,100,1900,0.838655462184874,16.46133777270021,115.42196790050656,1958.8991949513252
2013-04-20,127.0,100,2000,0.7858267716535433,17.247164544353755,115.9610900015878,2190.3898971329268
2013-04-21,117.618,100,2100,0.8485095818667211,18.095674126220477,116.0498351900092,2128.3769993778
2013-04-22,126.5,100,2200,0.7889328063241107,18.88460693254459,116.49699715002556,2388.9027769668905
2013-04-23,143.484,100,2300,0.6955479356583312,19.58015486820292,117.46587376257537,2809.438941109228
2013-04-24,154.6,100,2400,0.6455368693402329,20.225691737543155,118.66096008697163,3126.8919426241714
2013-04-25,141.9,100,2500,0.7033121916842846,20.929003929227438,119.45145638339434,2969.8256575573737
2013-04-26,137.3,100,2600,0.7268754552075746,21.655879384435014,120.05977470805128,2973.352239482928
2013-04-27,128.5,100,2700,0.7766536964980545,22.43253308093307,120.36090575499531,2882.5805008998996
2013-04-28,135.28,100,2800,0.7377291543465405,23.17026223527961,120.84455374599307,3134.4730751886254
2013-04-29,144.0,100,2900,0.6930555555555555,23.863317790835165,121.5254318539797,3436.317761880264
2013-04-30,139.88,100,3000,0.7134686874463826,24.576786478281548,122.06640614512777,3437.8008925820227
2013-05-01,116.0,100,3100,0.8603448275862069,25.437131305867755,121.86908825229447,2950.7072314806596
2013-05-02,106.6,100,3200,0.9362101313320825,26.373341437199837,121.33464421335596,2811.3981972055026
2013-05-03,98.06,100,3300,1.017744238221497,27.391085675421333,120.47715227882215,2685.969861331816
2013-05-04,112.5,100,3400,0.8871111111111111,28.278196786532444,120.23397480631643,3181.2971384848997
2013-05-05,116.57,100,3500,0.8561379428669469,29.13433472939939,120.13317045019593,3396.189399406087
2013-05-06,112.0,100,3600,0.8910714285714285,30.02540615797082,119.89846135834239,3362.845489692732
2013-05-07,110.0,100,3700,0.9072727272727272,30.932678885243547,119.61459961895144,3402.59467737679
2013-05-08,113.5,100,3800,0.879295154185022,31.81197403942857,119.45187668298054,3610.6590534751426
2013-05-09,112.669,100,3900,0.8857804720020591,32.69775451143063,119.27424553379102,3684.023303048378
2013-05-10,117.87,100,4000,0.8466955120047509,33.54445002343538,119.2447632083833,3953.8843242623284
2013-05-11,115.576,100,4100,0.8635010728871046,34.407951096322485,119.15850462942001,3976.7333559085673
2013-05-12,114.3,100,4200,0.8731408573928259,35.28109195371531,119.04393451058463,4032.62881030966
2013-05-13,117.979,100,4300,0.8459132557489044,36.127005209464215,119.02453511074663,4262.227947607379
2013-05-14,111.551,100,4400,0.8946580487848607,37.02166325824908,118.84933341074574,4129.803558120943
2013-05-15,108.95,100,4500,0.9160165213400642,37.93767977958914,118.61558287549904,4133.310211986237
2013-05-16,115.0,100,4600,0.8678260869565217,38.80550586654566,118.53987977426867,4462.63317465275
2013-05-17,117.62,100,4700,0.8484951538853935,39.65400102043105,118.52524030496707,4664.103600023101
2013-05-18,118.52,100,4800,0.8420519743503206,40.49605299478137,118.53007009395617,4799.592200941488
2013-05-19,118.25,100,4900,0.8439746300211416,41.34002762480252,118.52919026740508,4888.458266632898
2013-05-20,118.09,100,5000,0.8451181302396477,42.185145755042164,118.52513273353753,4981.643862212929
2013-05-21,117.0,100,5100,0.852991452991453,43.03813720803362,118.49955250962905,5035.462053339933
2013-05-22,119.11,100,5200,0.8378809503819998,43.87601815841562,118.5157682546591,5226.072522848885
2013-05-23,123.83,100,5300,0.805943632399257,44.681961790814874,118.61609892628984,5532.967328556606
2013-05-24,128.7,100,5400,0.7754467754467755,45.45740856626165,118.79251744253331,5850.368482477874
2013-05-25,128.97,100,5500,0.7738233697759168,46.23123193603757,118.96719532824544,5962.441982790765
2013-05-26,130.24,100,5600,0.7662776412776412,46.997509577315206,119.15524993483936,6120.955647349533
2013-05-27,126.25,100,5700,0.7904950495049504,47.788004626820154,119.27679434434846,6033.235584136044
2013-05-28,125.5,100,5800,0.7952191235059761,48.58322375032613,119.38277356411669,6097.194580665929
2013-05-29,130.35,100,5900,0.7656309934790948,49.34885474380522,119.55697919698186,6432.62321585501
2013-05-30,126.7,100,6000,0.7876874506708761,50.13654219447609,119.67319119707987,6352.299896040121
2013-05-31,127.9,100,6100,0.7802971071149335,50.916839301591025,119.80319445730777,6512.263746673492
2013-06-01,128.77,100,6200,0.7750252387978566,51.691864540388885,119.94150443452656,6656.361396865877
2013-06-02,123.8,100,6300,0.8061389337641357,52.49800347415302,120.004563661202,6499.252830100144
2013-06-03,123.1,100,6400,0.8107229894394801,53.30872646359251,120.05539101315647,6562.304227668237
2013-06-04,120.43,100,6500,0.8286971684796146,54.13742363207212,120.06481956317675,6519.769928010446
2013-06-05,121.19,100,6600,0.8235002888027065,54.960923920874826,120.08531751580034,6660.71436997082
2013-06-06,119.28,100,6700,0.8366867873910128,55.797610708265836,120.07682613921432,6655.539005281949
2013-06-07,111.07,100,6800,0.8985324570090933,56.69614316527493,119.93761163219374,6297.2406213670865
2013-06-08,109.13,100,6900,0.9145056354806195,57.610648800755555,119.7695242742954,6287.050103626453
2013-06-09,100.0,100,7000,0.998,58.60864880075555,119.43629725703146,5860.864880075555
2013-06-10,104.18,100,7100,0.9579573814551736,59.56660618221073,119.19430122108216,6205.649032062714
2013-06-11,107.36,100,7200,0.9295827123695976,60.49618889458032,119.01576167957627,6494.8708397221435
2013-06-12,106.68,100,7300,0.9355080614923134,61.431696956072635,118.8311630919123,6553.533431273829
2013-06-13,102.0,100,7400,0.9784313725490196,62.41012832862165,118.57049806139105,6365.8330895194085
